"Уникальный код улицы";"Наименование улицы для поиска, сортировки";"Действующее на данный момент наименование улицы для документов";"Действующее наименование для документов, приведенное к написанию наименования по ОМК УМ, но с сокращениями географических терминов";"Короткое наименование улицы МосгорБТИ";"Наименование  улицы по ОМК УМ";"Код состояния наименования";"Признак действующего наименования (1 — да, 0 — нет)";"Территориальная принадлежность улицы (коды районов)";"Примечание";"Код документа, на основании которого произведен ввод наименования";"Номер документа, на основании которого произведен ввод наименования";"Дата документа, на основании которого произведен ввод наименования";"Стандартизованная дата документа, на основании которого произведен ввод наименования";"Код «родителей» (ретроспектива)";"Код «потомков» (перспектива)";"Код улицы как физического объекта";"Дата ввода в Базу данных";"Основное наименование (без типа топонима)";"Код типа топонима";"Признак принадлежности к ОМК УМ";"Признак удаления";"Состояние наименования  улицы";"Документ, на основании которого произведен ввод наименования";"Наименование типа топонима";"Состояние подписи";
"4649";"Панфиловский пер.";"Панфиловский пер.";"Панфиловский пер.";"Панфиловский пер.";"Панфиловский переулок";"1";"1";"102";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"19790";"01.11.1980 00:00:00";"Панфиловский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"4650";"Панфиловский просп.";"Панфиловский просп.";"Зеленоград, Панфиловский просп.";"Панфиловский просп.";"Панфиловский проспект";"4";"0";"1007,1008";"";"9";"";"13.07.1965";"13.07.1965 00:00:00";"";"5343";"19765";"06.08.1992 00:00:00";"Панфиловский";"10";"0";"0";"часть до объеди";"нет данных";"просп.";"Запись не подписана";
"4664";"Парковая 9-я ул.";"Парковая 9-я ул.";"9-я Парковая ул.";"Парковая 9-я ул.";"9-я Парковая улица";"1";"1";"305,313,325";"";"3";"";"18.11.1949";"18.11.1949 00:00:00";"";"";"19910";"01.11.1980 00:00:00";"9-я Парковая";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4698";"Первомайская Верхн. ул.";"Первомайская Верхн. ул.";"Верхняя Первомайская ул.";"Первомайская Верхн. ул.";"Верхняя Первомайская улица";"1";"1";"305,313";"";"3";"";"18.11.1949";"18.11.1949 00:00:00";"";"";"20150";"01.11.1980 00:00:00";"Верхняя Первомайская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"3211";"Ларина им.дачн.пос.";"Ларина им.дачн.пос.";"дачн. пос. им. Ларина";"Ларина им.дачн.пос.";"дачный посёлок имени Ларина.";"1";"1";"";"";"9";"";"";"";"";"";"63211";"";"им. Ларина";"26";"0";"0";"действующее наи";"нет данных";"дачн. пос.";"Запись не подписана";
"3220";"Летний пер.";"Летний пер.";"Летний пер.";"Летний пер.";"Летний переулок";"5";"1";"";"";"9";"";"";"";"";"";"63220";"";"Летний";"2";"0";"0";"существующее, н";"нет данных";"пер.";"Запись не подписана";
"3221";"Летний пр.";"Летний пр.";"Летний пр.";"Летний пр.";"Летний проезд";"5";"1";"";"";"9";"";"";"";"";"";"63221";"";"Летний";"3";"0";"0";"существующее, н";"нет данных";"пр.";"Запись не подписана";
"3259";"Льговская 2-я ул.";"Льговская 2-я ул.";"Льговская 2-я ул.";"Льговская 2-я ул.";"";"9";"0";"";"";"9";"";"";"";"";"";"63259";"";"Льговская 2-я";"1";"0";"1";"упраздненное на";"нет данных";"ул.";"Запись не подписана";
"3261";"Люберецкий пр.";"Люберецкий пр.";"Люберецкий пр.";"Люберецкий пр.";"Люберецкий проезд";"2";"0";"";"";"9";"";"";"";"";"";"63261";"";"Люберецкий";"3";"0";"0";"прежнее наимено";"нет данных";"пр.";"Запись не подписана";
"3262";"Лаврский 1-й пер.";"Лаврский 1-й пер.";"1-й Лаврский пер.";"Лаврский 1-й пер.";"1-й Лаврский переулок";"1";"1";"";"";"9";"";"";"";"";"";"63262";"";"1-й Лаврский";"2";"0";"0";"действующее наи";"нет данных";"пер.";"Запись не подписана";
"3263";"Лукьянова ул.";"Лукьянова ул.";"ул. Лукьянова";"Лукьянова ул.";"улица Лукьянова";"5";"1";"";"";"9";"";"";"";"";"";"14150";"";"Лукьянова";"1";"0";"0";"существующее, н";"нет данных";"ул.";"Запись не подписана";
"3264";"Лациса Вилиса ул.";"Лациса Вилиса ул.";"Лациса Вилиса ул.";"Лациса Вилиса ул.";"улица Вилиса Лациса";"9";"0";"";"";"9";"";"";"";"";"";"3380";"";"Лациса Вилиса";"1";"0";"1";"упраздненное на";"нет данных";"ул.";"Запись не подписана";
"3278";"Лухмановская ул.";"Лухмановская ул.";"Лухмановская ул.";"Лухмановская ул.";"Лухмановская улица";"1";"1";"315";"";"1";"№ 379-ПП";"08.06.2004";"08.06.2004 00:00:00";"";"";"14170";"15.06.2004 00:00:00";"Лухмановская";"1";"1";"0";"действующее наи";"Пост-ие Прав-ва";"ул.";"Запись не подписана";
"3347";"Мантулинская ул.";"Мантулинская ул.";"Мантулинская ул.";"Мантулинская ул.";"Мантулинская улица";"1";"1";"109";"";"3";"";"15.01.1931";"15.01.1931 00:00:00";"";"";"14730";"01.11.1980 00:00:00";"Мантулинская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"3362";"Марьиной рощи 2-я ул.";"Марьиной рощи 2-я ул.";"2-я ул. Марьиной рощи";"Марьиной рощи 2-я ул.";"2-я улица Марьиной Рощи";"1";"1";"217";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"15060";"01.11.1980 00:00:00";"2-я Марьиной рощи";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"3409";"Мелитопольская ул.";"Мелитопольская ул.";"Мелитопольская ул.";"Мелитопольская ул.";"Мелитопольская улица";"1";"1";"503";"";"3";"";"28.02.1966";"28.02.1966 00:00:00";"";"";"15480";"01.11.1980 00:00:00";"Мелитопольская";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"3422";"Металлургов ул.";"Металлургов ул.";"ул. Металлургов";"Металлургов ул.";"улица Металлургов";"1";"1";"311,317,323";"";"3";"";"28.02.1964";"28.02.1964 00:00:00";"";"";"15590";"01.11.1980 00:00:00";"Металлургов";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"3464";"Михайловский Верхн. 2-й пр.";"Михайловский Верхн. 2-й пр.";"2-й Верхний Михайловский пр.";"Михайловск.Верхн.2-й пр.";"2-й Верхний Михайловский проезд";"1";"1";"509";"";"3";"";"1924 г.";"01.01.1924 00:00:00";"";"";"15911";"06.08.1992 00:00:00";"2-й Верхний Михайловский";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"3465";"Михайловский Верхн. 3-й пр.";"Михайловский Верхн. 3-й пр.";"3-й Верхний Михайловский пр.";"Михайловск.Верхн.3-й пр.";"3-й Верхний Михайловский проезд";"1";"1";"509";"";"3";"";"1924 г.";"01.01.1924 00:00:00";"";"";"15912";"06.08.1992 00:00:00";"3-й Верхний Михайловский";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
